1 | 2
Eastern United States | Western United States
Eire | 2
Eire | 8
Eire | United Kingdom
Evenki National Okrug | Novosibirsk
Evenki National Okrug | Russia
Evenki National Okrug | Yakut S.S.R.
French Equatorial Africa | 23
French Equatorial Africa | French West Africa
French Equatorial Africa | Sahara Desert
French Indo-China | 36
French Indo-China | India
French Indo-China | Kwangtung
French Indo-China | Nepal
French Madagascar | 28
French Madagascar | 29
French Madagascar | 32
French Madagascar | 33
French West Africa | 17
French West Africa | Sahara Desert
Germany | 5
Germany | Southern Europe
Germany | Switzerland
Gibraltar | 13
Gibraltar | Spain
Greenland | 2
Hawaii | 52
India | 35
India | Nepal
India | Persia
Italian East Africa | 34
Italian East Africa | Rhodesia
Japan | 60
Japan | 61
Karelia S.S.R. | 4
Karelia S.S.R. | 5
Karelia S.S.R. | Norway
Karelia S.S.R. | West Russia
Kazakh S.S.R. | Nepal
Kazakh S.S.R. | Novosibirsk
Kazakh S.S.R. | Persia
Kazakh S.S.R. | Russia
Kazakh S.S.R. | Sinkiang
Kwangtung | 59
Kwangtung | Manchuria
Libya | 14
Libya | Sahara Desert
Manchuria | 61
Manchuria | Mongolia
Mexico | 54
Mexico | Panama
Mexico | Western United States
Midway | 56
Mongolia | Novosibirsk
Mongolia | Sinkiang
Mongolia | Yakut S.S.R.
Mozambique | 33
Mozambique | Rhodesia
Mozambique | Union of South Africa
Nepal | Sinkiang
New Guinea | 47
New Zealand | 41
Norway | 3
Norway | 4
Norway | 5
Norway | 6
Norway | Sweden
Novosibirsk | Russia
Novosibirsk | Sinkiang
Novosibirsk | Yakut S.S.R.
Okinawa | 58
Panama | 10
Panama | 19
Panama | 20
Panama | Venezuela
Persia | 34
Persia | Trans-Jordan
Persia | Turkey
Peru | 21
Peru | Venezuela
Philippine Islands | 49
Rhodesia | 33
Rhodesia | Union of South Africa
Russia | West Russia
Sahara Desert | 17
Saudi Arabia | 34
Saudi Arabia | Trans-Jordan
Solomon Islands | 45
Southern Europe | 14
Southern Europe | Switzerland
Soviet Far East | 62
Soviet Far East | Yakut S.S.R.
Spain | 12
Spain | 13
Sweden | 5
Trans-Jordan | 15
Trans-Jordan | 34
Trans-Jordan | Turkey
Turkey | 15
Turkey | 16
Ukraine S.S.R. | 16
Ukraine S.S.R. | West Russia
Union of South Africa | 27
Union of South Africa | 28
United Kingdom | 2
United Kingdom | 3
United Kingdom | 6
United Kingdom | 7
United Kingdom | 8
Venezuela | 19
Venezuela | 20
Wake Island | 51
West Indies | 19
Western Canada | 64
Western Canada | Western United States
Western Europe | 5
Western Europe | 6
Western Europe | 7
Western Europe | Germany
Western Europe | Southern Europe
Western Europe | Spain
Western Europe | Switzerland
Western United States | 54
Western United States | 55
